subset,n_events,mean_post_gap,median_post_gap,positive_events,negative_events,left_out_event_id,left_out_country
leave_out:BHR_EW2014,7,-0.11695239616789209,-0.14660171953163542,1,6,BHR_EW2014,Bahrain
leave_out:HRV_EW2011,7,0.062327353209038504,-0.14660171953163542,1,6,HRV_EW2011,Croatia
leave_out:LUX_EW2020,7,0.1030453447922605,-0.14660171953163542,2,5,LUX_EW2020,Luxembourg
leave_out:CHN_EW2009,7,0.1076850906917324,-0.14660171953163542,2,5,CHN_EW2009,China
leave_out:TWN_EW2018,7,0.12131120943111799,-0.051218888355936035,2,5,TWN_EW2018,"Taiwan, China"
leave_out:KWT_EW2011,7,0.1309909761677724,-0.051218888355936035,2,5,KWT_EW2011,Kuwait
leave_out:CAN_EW2019,7,0.13257104933724562,-0.051218888355936035,2,5,CAN_EW2019,Canada
leave_out:XKX_EW2012,7,0.16159811902491522,-0.051218888355936035,2,5,XKX_EW2012,Kosovo
