year,region,country,minimum_annual_leave_5day_workweek,observation_status,leave_bracket,service_basis,source,source_url
2012,Africa,Tunisia,12,exact_annex,10-14,worker in first year of service,"ILO Working Conditions Laws Report 2012, Annex to Chapter One",https://www.ilo.org/sites/default/files/wcmsp5/groups/public/@ed_protect/@protrav/@travail/documents/publication/wcms_235155.pdf
2012,Africa,Uganda,15,exact_annex,15-19,worker in first year of service,"ILO Working Conditions Laws Report 2012, Annex to Chapter One",https://www.ilo.org/sites/default/files/wcmsp5/groups/public/@ed_protect/@protrav/@travail/documents/publication/wcms_235155.pdf
2012,Africa,Zambia,17,exact_annex,15-19,worker in first year of service,"ILO Working Conditions Laws Report 2012, Annex to Chapter One",https://www.ilo.org/sites/default/files/wcmsp5/groups/public/@ed_protect/@protrav/@travail/documents/publication/wcms_235155.pdf
2012,Africa,Zimbabwe,21,exact_annex,20-23,worker in first year of service,"ILO Working Conditions Laws Report 2012, Annex to Chapter One",https://www.ilo.org/sites/default/files/wcmsp5/groups/public/@ed_protect/@protrav/@travail/documents/publication/wcms_235155.pdf
2012,Asia and Pacific,Afghanistan,17,exact_annex,15-19,worker in first year of service,"ILO Working Conditions Laws Report 2012, Annex to Chapter One",https://www.ilo.org/sites/default/files/wcmsp5/groups/public/@ed_protect/@protrav/@travail/documents/publication/wcms_235155.pdf
2012,Asia and Pacific,Australia,20,exact_annex,20-23,worker in first year of service,"ILO Working Conditions Laws Report 2012, Annex to Chapter One",https://www.ilo.org/sites/default/files/wcmsp5/groups/public/@ed_protect/@protrav/@travail/documents/publication/wcms_235155.pdf
2012,Asia and Pacific,Bangladesh,10,exact_annex,10-14,worker in first year of service,"ILO Working Conditions Laws Report 2012, Annex to Chapter One",https://www.ilo.org/sites/default/files/wcmsp5/groups/public/@ed_protect/@protrav/@travail/documents/publication/wcms_235155.pdf
2012,Asia and Pacific,Brunei Darussalam,7,exact_annex,<10,worker in first year of service,"ILO Working Conditions Laws Report 2012, Annex to Chapter One",https://www.ilo.org/sites/default/files/wcmsp5/groups/public/@ed_protect/@protrav/@travail/documents/publication/wcms_235155.pdf
2012,Asia and Pacific,Cambodia,15,exact_annex,15-19,worker in first year of service,"ILO Working Conditions Laws Report 2012, Annex to Chapter One",https://www.ilo.org/sites/default/files/wcmsp5/groups/public/@ed_protect/@protrav/@travail/documents/publication/wcms_235155.pdf
2012,Asia and Pacific,China,5,exact_annex,<10,worker in first year of service,"ILO Working Conditions Laws Report 2012, Annex to Chapter One",https://www.ilo.org/sites/default/files/wcmsp5/groups/public/@ed_protect/@protrav/@travail/documents/publication/wcms_235155.pdf
2012,Asia and Pacific,Fiji,10,exact_annex,10-14,worker in first year of service,"ILO Working Conditions Laws Report 2012, Annex to Chapter One",https://www.ilo.org/sites/default/files/wcmsp5/groups/public/@ed_protect/@protrav/@travail/documents/publication/wcms_235155.pdf
2012,Asia and Pacific,India,,no_universal_minimum,no_universal_minimum,worker in first year of service,"ILO Working Conditions Laws Report 2012, Annex to Chapter One",https://www.ilo.org/sites/default/files/wcmsp5/groups/public/@ed_protect/@protrav/@travail/documents/publication/wcms_235155.pdf
2012,Asia and Pacific,Indonesia,12,exact_annex,10-14,worker in first year of service,"ILO Working Conditions Laws Report 2012, Annex to Chapter One",https://www.ilo.org/sites/default/files/wcmsp5/groups/public/@ed_protect/@protrav/@travail/documents/publication/wcms_235155.pdf
2012,Asia and Pacific,Iran,25,exact_annex,24-25,worker in first year of service,"ILO Working Conditions Laws Report 2012, Annex to Chapter One",https://www.ilo.org/sites/default/files/wcmsp5/groups/public/@ed_protect/@protrav/@travail/documents/publication/wcms_235155.pdf
2012,Asia and Pacific,Japan,8,exact_annex,<10,worker in first year of service,"ILO Working Conditions Laws Report 2012, Annex to Chapter One",https://www.ilo.org/sites/default/files/wcmsp5/groups/public/@ed_protect/@protrav/@travail/documents/publication/wcms_235155.pdf
2012,Asia and Pacific,Kiribati,,no_universal_minimum,no_universal_minimum,worker in first year of service,"ILO Working Conditions Laws Report 2012, Annex to Chapter One",https://www.ilo.org/sites/default/files/wcmsp5/groups/public/@ed_protect/@protrav/@travail/documents/publication/wcms_235155.pdf
2012,Asia and Pacific,Republic of Korea,15,exact_annex,15-19,worker in first year of service,"ILO Working Conditions Laws Report 2012, Annex to Chapter One",https://www.ilo.org/sites/default/files/wcmsp5/groups/public/@ed_protect/@protrav/@travail/documents/publication/wcms_235155.pdf
