country,region,ilo_2012_days_5day,ilo_status,ilo_bracket,wb_economy,wb_code,wb_2012_leave_1y,wb_2012_leave_avg,wb1_minus_ilo,abs_diff_1y,qa_class
Republic of Korea,Asia and Pacific,15,exact_annex,15-19,"Korea, Rep.",KOR,15,17,0,0,close_0_1
Lao People's Democratic Republic,Asia and Pacific,13,exact_annex,10-14,Lao PDR,LAO,15,15,2,2,moderate_1_2
Malaysia,Asia and Pacific,8,exact_annex,<10,Malaysia,MYS,8,13.333333333333334,0,0,close_0_1
Mongolia,Asia and Pacific,15,exact_annex,15-19,Mongolia,MNG,15,16,0,0,close_0_1
Myanmar,Asia and Pacific,7,exact_annex,<10,Myanmar,MMR,10,10,3,3,review_2_5
Nepal,Asia and Pacific,12,exact_annex,10-14,Nepal,NPL,18,18,6,6,priority_review_ge5
New Zealand,Asia and Pacific,20,exact_annex,20-23,New Zealand,NZL,20,20,0,0,close_0_1
Pakistan,Asia and Pacific,,no_universal_minimum,no_universal_minimum,Pakistan Karachi,PAK,14,14,,,scope_noncomparable_no_universal_ilo
Papua New Guinea,Asia and Pacific,10,exact_annex,10-14,Papua New Guinea,PNG,11,11,1,1,close_0_1
Philippines,Asia and Pacific,,no_universal_minimum,no_universal_minimum,Philippines,PHL,5,5,,,scope_noncomparable_no_universal_ilo
Singapore,Asia and Pacific,7,exact_annex,<10,Singapore,SGP,7,10.6666666666667,0,0,close_0_1
Solomon Islands,Asia and Pacific,15,exact_annex,15-19,Solomon Islands,SLB,15,15,0,0,close_0_1
Sri Lanka,Asia and Pacific,,no_universal_minimum,no_universal_minimum,Sri Lanka,LKA,14,14,,,scope_noncomparable_no_universal_ilo
Thailand,Asia and Pacific,6,exact_annex,<10,Thailand,THA,6,6,0,0,close_0_1
Vanuatu,Asia and Pacific,15,exact_annex,15-19,Vanuatu,VUT,15,17,0,0,close_0_1
Vietnam,Asia and Pacific,10,exact_annex,10-14,Vietnam,VNM,12,13,2,2,moderate_1_2
Armenia,Europe and CIS,20,exact_annex,20-23,Armenia,ARM,20,20,0,0,close_0_1
Austria,Europe and CIS,25,exact_annex,24-25,Austria,AUT,25,25,0,0,close_0_1
Belgium,Europe and CIS,20,exact_annex,20-23,Belgium,BEL,20,20,0,0,close_0_1
