cohort,base_period,time,ATTgtElements,ATTgtElements,ATTgtElements,ATTgtElements,ATTgtElements
,,,,bootstrap,simult. conf. band,simult. conf. band,simult. conf. band
,,,ATT,std_error,lower,upper,zero_not_in_cband
2008,2007,2005,,,,,
2008,2007,2006,0.13391406266857064,0.11518453703399179,,,
2008,2007,2007,0.0,,,,
2008,2007,2008,0.004141447088558792,0.05876774535002251,,,
2008,2007,2009,-0.44031475576070367,0.09624089004572106,,,
2008,2007,2010,-0.34533806452675453,0.0777286262434337,,,
2008,2007,2011,0.09522373542125084,0.07443509001805071,,,
2008,2007,2012,0.20379981643709577,0.08028150702856982,,,
2008,2007,2013,,,,,
2008,2007,2014,,,,,
2008,2007,2015,,,,,
2008,2007,2016,,,,,
2008,2007,2017,,,,,
2008,2007,2018,,,,,
2008,2007,2019,,,,,
2008,2007,2020,,,,,
2008,2007,2021,,,,,
2008,2007,2022,,,,,
2010,2009,2005,,,,,
2010,2009,2006,0.576592662153744,0.33790979526009746,,,
2010,2009,2007,-0.496931435818043,0.542215696728128,,,
2010,2009,2008,-0.4136806537544775,0.3217581155623318,,,
2010,2009,2009,0.0,,,,
2010,2009,2010,-0.4989755950866188,0.3225056475078788,,,
2010,2009,2011,-0.497602116570091,0.2969562916267872,,,
2010,2009,2012,-0.02639628829378271,0.30111646438797907,,,
2010,2009,2013,0.2111853660042602,0.18275260288739997,,,
2010,2009,2014,-0.5210351503256598,0.22604358965500787,,,
2010,2009,2015,,,,,
2010,2009,2016,,,,,
2010,2009,2017,,,,,
2010,2009,2018,,,,,
2010,2009,2019,,,,,
2010,2009,2020,,,,,
2010,2009,2021,,,,,
2010,2009,2022,,,,,
2012,2011,2005,,,,,
2012,2011,2006,,,,,
2012,2011,2007,,,,,
2012,2011,2008,,,,,
2012,2011,2009,0.9596676795910586,0.09148963618411357,,,
2012,2011,2010,1.0732143153623683,0.06624683426016244,,,
2012,2011,2011,0.0,,,,
2012,2011,2012,,,,,
2012,2011,2013,1.9662895868347388,0.056831615549338875,,,
2012,2011,2014,1.352840464598649,0.06719115972501545,,,
2012,2011,2015,1.2053196548219516,0.07755609994614948,,,
2012,2011,2016,1.3746564769306904,0.08821100966411087,,,
2012,2011,2017,,,,,
2012,2011,2018,,,,,
2012,2011,2019,,,,,
2012,2011,2020,,,,,
2012,2011,2021,,,,,
2012,2011,2022,,,,,
2017,2016,2005,,,,,
2017,2016,2006,,,,,
2017,2016,2007,,,,,
2017,2016,2008,,,,,
2017,2016,2009,,,,,
2017,2016,2010,,,,,
2017,2016,2011,,,,,
2017,2016,2012,,,,,
2017,2016,2013,-0.10243982618505232,0.0817422817939551,,,
2017,2016,2014,-0.16899492407178407,0.06730291421223876,,,
2017,2016,2015,-0.07120852897511298,0.04231323756557909,,,
2017,2016,2016,0.0,,,,
2017,2016,2017,-0.20406122139706628,0.04630458472927183,,,
2017,2016,2018,-0.10148997950586125,0.04452674392544879,,,
2017,2016,2019,-0.04970443666433244,0.07498247553286638,,,
2017,2016,2020,0.187142188150073,0.09821659534742025,,,
2017,2016,2021,-0.2522445453161577,0.09666836853601066,,,
2017,2016,2022,,,,,
2019,2018,2005,,,,,
2019,2018,2006,,,,,
2019,2018,2007,,,,,
2019,2018,2008,,,,,
2019,2018,2009,,,,,
2019,2018,2010,,,,,
2019,2018,2011,,,,,
2019,2018,2012,,,,,
2019,2018,2013,,,,,
2019,2018,2014,,,,,
2019,2018,2015,-0.10856895563485747,0.1568506520900894,,,
2019,2018,2016,-0.048080431211450225,0.12234872145143233,,,
2019,2018,2017,0.0350910516885623,0.08835916677703215,,,
2019,2018,2018,0.0,,,,
2019,2018,2019,0.17589820326069194,0.05670747473760197,,,
2019,2018,2020,-0.18034379878647488,0.08426046286160495,,,
2019,2018,2021,-0.20087629564992238,0.07827788459147207,,,
2019,2018,2022,-0.28495259793341976,0.12465205660492734,,,
