subset,n_events,mean_post_gap,median_post_gap,positive_events,negative_events,left_out_event_id,left_out_country
leave_out:BHR_EW2014,7,-0.09129166892248021,-0.1464530793921366,2,5,BHR_EW2014,Bahrain
leave_out:HRV_EW2011,7,0.08805078852870067,-0.1464530793921366,2,5,HRV_EW2011,Croatia
leave_out:LUX_EW2020,7,0.11045058751256244,-0.1464530793921366,2,5,LUX_EW2020,Luxembourg
leave_out:CHN_EW2009,7,0.13330889833646073,-0.1464530793921366,3,4,CHN_EW2009,China
leave_out:TWN_EW2018,7,0.14695430227108494,-0.0509352518497669,3,4,TWN_EW2018,"Taiwan, China"
leave_out:CAN_EW2019,7,0.1506980379041645,-0.0509352518497669,3,4,CAN_EW2019,Canada
leave_out:KWT_EW2011,7,0.1566979266450849,-0.0509352518497669,3,4,KWT_EW2011,Kuwait
leave_out:XKX_EW2012,7,0.18735816422988014,-0.0509352518497669,3,4,XKX_EW2012,Kosovo
