convention,country,ratification_date,ratification_year,current_status,note,verification_status,source_kind,source_url
C052,Iraq,1960-05-12,1960,Not in force,Automatic Denunciation on 19 Feb 1975 by convention C132,primary-register-verified,ILO NORMLEX,https://normlex.ilo.org/dyn/nrmlx_en/f?p=NORMLEXPUB:11300:0::NO::P11300_INSTRUMENT_ID:312197
C052,Israel,1951-08-22,1951,In Force,,primary-register-verified,ILO NORMLEX,https://normlex.ilo.org/dyn/nrmlx_en/f?p=NORMLEXPUB:11300:0::NO::P11300_INSTRUMENT_ID:312197
C052,Italy,1952-10-22,1952,Not in force,Automatic Denunciation on 28 Jul 1982 by convention C132,primary-register-verified,ILO NORMLEX,https://normlex.ilo.org/dyn/nrmlx_en/f?p=NORMLEXPUB:11300:0::NO::P11300_INSTRUMENT_ID:312197
C052,Kuwait,1961-09-21,1961,In Force,,primary-register-verified,ILO NORMLEX,https://normlex.ilo.org/dyn/nrmlx_en/f?p=NORMLEXPUB:11300:0::NO::P11300_INSTRUMENT_ID:312197
C052,Kyrgyzstan,1992-03-31,1992,In Force,,primary-register-verified,ILO NORMLEX,https://normlex.ilo.org/dyn/nrmlx_en/f?p=NORMLEXPUB:11300:0::NO::P11300_INSTRUMENT_ID:312197
C052,Lebanon,1962-07-26,1962,In Force,,primary-register-verified,ILO NORMLEX,https://normlex.ilo.org/dyn/nrmlx_en/f?p=NORMLEXPUB:11300:0::NO::P11300_INSTRUMENT_ID:312197
C052,Libya,1962-06-20,1962,In Force,,primary-register-verified,ILO NORMLEX,https://normlex.ilo.org/dyn/nrmlx_en/f?p=NORMLEXPUB:11300:0::NO::P11300_INSTRUMENT_ID:312197
C052,Madagascar,1962-08-10,1962,Not in force,Automatic Denunciation on 08 Feb 1973 by convention C132,primary-register-verified,ILO NORMLEX,https://normlex.ilo.org/dyn/nrmlx_en/f?p=NORMLEXPUB:11300:0::NO::P11300_INSTRUMENT_ID:312197
C052,Mali,1968-07-12,1968,In Force,,primary-register-verified,ILO NORMLEX,https://normlex.ilo.org/dyn/nrmlx_en/f?p=NORMLEXPUB:11300:0::NO::P11300_INSTRUMENT_ID:312197
C052,Mauritania,1963-11-08,1963,In Force,,primary-register-verified,ILO NORMLEX,https://normlex.ilo.org/dyn/nrmlx_en/f?p=NORMLEXPUB:11300:0::NO::P11300_INSTRUMENT_ID:312197
C052,Mexico,1938-03-09,1938,In Force,,primary-register-verified,ILO NORMLEX,https://normlex.ilo.org/dyn/nrmlx_en/f?p=NORMLEXPUB:11300:0::NO::P11300_INSTRUMENT_ID:312197
C052,Morocco,1956-09-20,1956,In Force,,primary-register-verified,ILO NORMLEX,https://normlex.ilo.org/dyn/nrmlx_en/f?p=NORMLEXPUB:11300:0::NO::P11300_INSTRUMENT_ID:312197
C052,Myanmar,1954-05-21,1954,In Force,,primary-register-verified,ILO NORMLEX,https://normlex.ilo.org/dyn/nrmlx_en/f?p=NORMLEXPUB:11300:0::NO::P11300_INSTRUMENT_ID:312197
C052,New Zealand,1950-11-10,1950,In Force,,primary-register-verified,ILO NORMLEX,https://normlex.ilo.org/dyn/nrmlx_en/f?p=NORMLEXPUB:11300:0::NO::P11300_INSTRUMENT_ID:312197
C052,Panama,1958-06-03,1958,In Force,,primary-register-verified,ILO NORMLEX,https://normlex.ilo.org/dyn/nrmlx_en/f?p=NORMLEXPUB:11300:0::NO::P11300_INSTRUMENT_ID:312197
C052,Paraguay,1966-03-21,1966,In Force,,primary-register-verified,ILO NORMLEX,https://normlex.ilo.org/dyn/nrmlx_en/f?p=NORMLEXPUB:11300:0::NO::P11300_INSTRUMENT_ID:312197
C052,Peru,1960-02-01,1960,In Force,,primary-register-verified,ILO NORMLEX,https://normlex.ilo.org/dyn/nrmlx_en/f?p=NORMLEXPUB:11300:0::NO::P11300_INSTRUMENT_ID:312197
C052,Russian Federation,1956-08-10,1956,Not in force,Automatic Denunciation on 06 Sep 2011 by convention C132,primary-register-verified,ILO NORMLEX,https://normlex.ilo.org/dyn/nrmlx_en/f?p=NORMLEXPUB:11300:0::NO::P11300_INSTRUMENT_ID:312197
C052,Senegal,1962-10-22,1962,In Force,,primary-register-verified,ILO NORMLEX,https://normlex.ilo.org/dyn/nrmlx_en/f?p=NORMLEXPUB:11300:0::NO::P11300_INSTRUMENT_ID:312197
C052,Slovakia,1993-01-01,1993,In Force,,primary-register-verified,ILO NORMLEX,https://normlex.ilo.org/dyn/nrmlx_en/f?p=NORMLEXPUB:11300:0::NO::P11300_INSTRUMENT_ID:312197
C052,Spain,1971-05-05,1971,Not in force,Automatic Denunciation on 30 Jun 1973 by convention C132,primary-register-verified,ILO NORMLEX,https://normlex.ilo.org/dyn/nrmlx_en/f?p=NORMLEXPUB:11300:0::NO::P11300_INSTRUMENT_ID:312197
C052,Syrian Arab Republic,1960-07-26,1960,In Force,,primary-register-verified,ILO NORMLEX,https://normlex.ilo.org/dyn/nrmlx_en/f?p=NORMLEXPUB:11300:0::NO::P11300_INSTRUMENT_ID:312197
C052,Tajikistan,1993-11-26,1993,In Force,,primary-register-verified,ILO NORMLEX,https://normlex.ilo.org/dyn/nrmlx_en/f?p=NORMLEXPUB:11300:0::NO::P11300_INSTRUMENT_ID:312197
C052,Tunisia,1957-05-15,1957,In Force,,primary-register-verified,ILO NORMLEX,https://normlex.ilo.org/dyn/nrmlx_en/f?p=NORMLEXPUB:11300:0::NO::P11300_INSTRUMENT_ID:312197
C052,Ukraine,1956-09-14,1956,Not in force,Automatic Denunciation on 25 Oct 2002 by convention C132,primary-register-verified,ILO NORMLEX,https://normlex.ilo.org/dyn/nrmlx_en/f?p=NORMLEXPUB:11300:0::NO::P11300_INSTRUMENT_ID:312197
C052,Uruguay,1954-03-18,1954,Not in force,Automatic Denunciation on 02 Jun 1978 by convention C132,primary-register-verified,ILO NORMLEX,https://normlex.ilo.org/dyn/nrmlx_en/f?p=NORMLEXPUB:11300:0::NO::P11300_INSTRUMENT_ID:312197
C052,Uzbekistan,1992-07-13,1992,In Force,,primary-register-verified,ILO NORMLEX,https://normlex.ilo.org/dyn/nrmlx_en/f?p=NORMLEXPUB:11300:0::NO::P11300_INSTRUMENT_ID:312197
