event_id,country,whr_country,legal_effective_year,reference_year,transition_year_excluded,event_time,calendar_year,life_ladder,treated_change_from_ref,donor_mean_change_from_ref,donor_adjusted_gap,donor_n,period
BHR_EW2014,Bahrain,Bahrain,2012,2011,2012,-3,2009,5.700523376464844,0.8765473365783691,0.0063830309135969295,0.8701643056647722,86,pre
BHR_EW2014,Bahrain,Bahrain,2012,2011,2012,-2,2010,5.936869144439697,1.1128931045532227,-0.04279358532963967,1.1556866898828624,98,pre
BHR_EW2014,Bahrain,Bahrain,2012,2011,2012,-1,2011,4.823976039886475,0.0,0.0,0.0,109,pre
BHR_EW2014,Bahrain,Bahrain,2012,2011,2012,1,2013,6.689711093902588,1.8657350540161133,-0.12478379708416057,1.9905188511002738,106,post
BHR_EW2014,Bahrain,Bahrain,2012,2011,2012,2,2014,6.165133953094482,1.3411579132080078,-0.051235559944794555,1.3923934731528023,107,post
BHR_EW2014,Bahrain,Bahrain,2012,2011,2012,3,2015,6.007375240325928,1.1833992004394531,-0.08453319674340364,1.2679323971828567,107,post
BHR_EW2014,Bahrain,Bahrain,2012,2011,2012,4,2016,6.169673442840576,1.3456974029541016,-0.08853275146124498,1.4342301544153466,106,post
CAN_EW2019,Canada,Canada,2019,2018,2019,-4,2015,7.4127726554870605,0.2372760772705078,-0.13336132367451986,0.3706374009450277,105,pre
CAN_EW2019,Canada,Canada,2019,2018,2019,-3,2016,7.244845867156982,0.06934928894042969,-0.13332431362225458,0.20267360256268427,104,pre
CAN_EW2019,Canada,Canada,2019,2018,2019,-2,2017,7.414868354797363,0.23937177658081055,-0.06120866095578229,0.30058043753659286,108,pre
CAN_EW2019,Canada,Canada,2019,2018,2019,-1,2018,7.175496578216553,0.0,0.0,0.0,109,pre
CAN_EW2019,Canada,Canada,2019,2018,2019,1,2020,7.024904727935791,-0.15059185028076172,-0.009163556712688786,-0.14142829356807293,101,post
CAN_EW2019,Canada,Canada,2019,2018,2019,2,2021,6.9394354820251465,-0.23606109619140625,-0.046456632790742095,-0.18960446340066417,108,post
CAN_EW2019,Canada,Canada,2019,2018,2019,3,2022,6.917935371398926,-0.25756120681762695,-0.07061627731528333,-0.18694492950234362,93,post
CHN_EW2009,China,China,2008,2007,,-2,2006,4.560495376586914,-0.3023667335510254,-0.1538898294622248,-0.1484769040888006,55,pre
CHN_EW2009,China,China,2008,2007,,-1,2007,4.8628621101379395,0.0,0.0,0.0,77,pre
CHN_EW2009,China,China,2008,2007,,0,2008,4.84629487991333,-0.016567230224609375,-0.02913995192084514,0.012572721696235765,71,post
CHN_EW2009,China,China,2008,2007,,1,2009,4.4543609619140625,-0.40850114822387695,0.03662622325560626,-0.4451273714794832,68,post
CHN_EW2009,China,China,2008,2007,,2,2010,4.652736663818359,-0.21012544631958008,0.006294821349667831,-0.2164202676692479,71,post
CHN_EW2009,China,China,2008,2007,,3,2011,5.03720760345459,0.1743454933166504,0.02181194957933928,0.15253354373731112,76,post
CHN_EW2009,China,China,2008,2007,,4,2012,5.094917297363281,0.2320551872253418,-0.009709927241007487,0.2417651144663493,75,post
HRV_EW2011,Croatia,Croatia,2010,2009,,-3,2007,5.8209075927734375,0.3875880241394043,-0.04420288290296282,0.4317909070423671,70,pre
HRV_EW2011,Croatia,Croatia,2010,2009,,-1,2009,5.433319568634033,0.0,0.0,0.0,86,pre
HRV_EW2011,Croatia,Croatia,2010,2009,,0,2010,5.595575332641602,0.16225576400756836,0.008470940589904784,0.15378482341766359,80,post
HRV_EW2011,Croatia,Croatia,2010,2009,,1,2011,5.385372638702393,-0.047946929931640625,-0.013701135203951881,-0.034245794727688746,84,post
HRV_EW2011,Croatia,Croatia,2010,2009,,2,2012,6.027634620666504,0.5943150520324707,-0.060574069080582583,0.6548891211130533,83,post
HRV_EW2011,Croatia,Croatia,2010,2009,,3,2013,5.885462760925293,0.45214319229125977,-0.13339373832795678,0.5855369306192165,82,post
HRV_EW2011,Croatia,Croatia,2010,2009,,4,2014,5.380692481994629,-0.0526270866394043,-0.022019590239926994,-0.030607496399477303,83,post
XKX_EW2012,Kosovo,Kosovo,2010,2009,2010,-3,2007,5.103906154632568,-0.7875266075134277,-0.04420288290296282,-0.7433237246104649,70,pre
XKX_EW2012,Kosovo,Kosovo,2010,2009,2010,-2,2008,5.521659851074219,-0.36977291107177734,-0.07437229474385579,-0.2954006163279216,75,pre
XKX_EW2012,Kosovo,Kosovo,2010,2009,2010,-1,2009,5.891432762145996,0.0,0.0,0.0,85,pre
XKX_EW2012,Kosovo,Kosovo,2010,2009,2010,1,2011,4.859501838684082,-1.031930923461914,-0.007399561893509095,-1.024531361568405,83,post
XKX_EW2012,Kosovo,Kosovo,2010,2009,2010,2,2012,5.639588356018066,-0.2518444061279297,-0.060574069080582583,-0.1912703370473471,83,post
XKX_EW2012,Kosovo,Kosovo,2010,2009,2010,3,2013,6.125758171081543,0.23432540893554688,-0.13339373832795678,0.36771914726350363,82,post
XKX_EW2012,Kosovo,Kosovo,2010,2009,2010,4,2014,5.000375270843506,-0.8910574913024902,-0.022019590239926994,-0.8690379010625633,83,post
KWT_EW2011,Kuwait,Kuwait,2010,2009,2010,-4,2006,6.075547218322754,-0.5096988677978516,-0.2164582815326628,-0.2932405862651888,61,pre
KWT_EW2011,Kuwait,Kuwait,2010,2009,2010,-1,2009,6.5852460861206055,0.0,0.0,0.0,85,pre
KWT_EW2011,Kuwait,Kuwait,2010,2009,2010,1,2011,6.377699375152588,-0.20754671096801758,-0.007399561893509095,-0.20014714907450848,83,post
KWT_EW2011,Kuwait,Kuwait,2010,2009,2010,2,2012,6.221094608306885,-0.3641514778137207,-0.060574069080582583,-0.3035774087331381,83,post
KWT_EW2011,Kuwait,Kuwait,2010,2009,2010,3,2013,6.4800310134887695,-0.10521507263183594,-0.13339373832795678,0.028178665696120847,82,post
KWT_EW2011,Kuwait,Kuwait,2010,2009,2010,4,2014,6.18013858795166,-0.4051074981689453,-0.022019590239926994,-0.3830879079290183,83,post
