model,days,reference_days,estimate,se,ci_low,ci_high
RCS_A0,0,20,-0.09670737301874309,0.19829469630110313,-0.48536497776890525,0.29195023173141904
RCS_A1,0,20,-0.11109350301302014,0.2153561520010973,-0.5331915609351708,0.3110045549091306
RCS_A0,5,20,-0.07328635168850486,0.14012126230280242,-0.34792402580199755,0.20135132242498785
RCS_A1,5,20,-0.08759526354002489,0.15362634864380864,-0.3887029068818898,0.21351237980184
RCS_A0,10,20,-0.04986533035826664,0.08561676347852828,-0.21767418677618205,0.11794352605964879
RCS_A1,10,20,-0.06409702406702963,0.09461452758853457,-0.2495414981405574,0.12134745000649813
RCS_A0,12,20,-0.040496921826171345,0.06690289632077089,-0.17162659861488228,0.09063275496253959
RCS_A1,12,20,-0.05469772827783154,0.07326738875751121,-0.1983018102425535,0.08890635368689043
RCS_A0,15,20,-0.026284877840840257,0.047263129507993135,-0.1189206116765068,0.06635085599482629
RCS_A1,15,20,-0.03969699803491709,0.0481171073334765,-0.13400652840853103,0.05461253233869686
RCS_A0,20,20,0,0,0,0
RCS_A1,20,20,0,0,0,0
RCS_A0,25,20,0.03164845790365163,0.15174089407744132,-0.26576369448813336,0.3290606102954366
RCS_A1,25,20,0.07003487919040643,0.1361410367707368,-0.19680155288023768,0.3368713112610505
RCS_A0,26,20,0.038308821576327756,0.18943954894372744,-0.332992694353378,0.40961033750603354
RCS_A1,26,20,0.08591222715110139,0.1699350959448371,-0.24716056090077934,0.41898501520298215
RCS_A0,30,20,0.06498176884721757,0.3410431744247391,-0.603462853025271,0.7334263907197061
RCS_A1,30,20,0.1495997496722253,0.3058849965595978,-0.44993484358458635,0.749134342929037
RCS_A0,35,20,0.09832295293582986,0.5306184688508194,-0.9416892460117763,1.138335151883436
RCS_A1,35,20,0.22920915282363025,0.4759187413004367,-0.7035915801252257,1.162009885772486
RCS_A0,40,20,0.13166413702444213,0.7202144414079316,-1.2799561681351035,1.543284442183988
RCS_A1,40,20,0.30881855597503505,0.6459806484134266,-0.9573035149152812,1.5749406268653514
