convention,country,ratification_date,ratification_year,current_status,declared_holiday_length,article15_acceptance,verification_status,source_kind,source_url,declared_length_unit,declared_length_value
C132,Montenegro,2006-06-03,2006,In Force,18 working days,Article 15(1)(a) and (b),primary-register-verified,ILO NORMLEX,https://normlex.ilo.org/dyn/nrmlx_en/f?p=NORMLEXPUB:11300:0::NO::P11300_INSTRUMENT_ID:312277,working_days,18
C132,North Macedonia,1991-11-17,1991,In Force,18 working days,Article 15(1)(a) and (b),primary-register-verified,ILO NORMLEX,https://normlex.ilo.org/dyn/nrmlx_en/f?p=NORMLEXPUB:11300:0::NO::P11300_INSTRUMENT_ID:312277,working_days,18
C132,Norway,1973-06-22,1973,In Force,24 working days,Article 15(1)(a) and (b),primary-register-verified,ILO NORMLEX,https://normlex.ilo.org/dyn/nrmlx_en/f?p=NORMLEXPUB:11300:0::NO::P11300_INSTRUMENT_ID:312277,working_days,24
C132,Portugal,1981-03-17,1981,In Force,21 days,Article 15(1)(a) and (b),primary-register-verified,ILO NORMLEX,https://normlex.ilo.org/dyn/nrmlx_en/f?p=NORMLEXPUB:11300:0::NO::P11300_INSTRUMENT_ID:312277,unspecified_days,21
C132,Republic of Moldova,1998-01-27,1998,In Force,24 working days,Article 15(1)(a) and (b),primary-register-verified,ILO NORMLEX,https://normlex.ilo.org/dyn/nrmlx_en/f?p=NORMLEXPUB:11300:0::NO::P11300_INSTRUMENT_ID:312277,working_days,24
C132,Russian Federation,2010-09-06,2010,In Force,28 calendar days,Article 15(1)(a) and (b),primary-register-verified,ILO NORMLEX,https://normlex.ilo.org/dyn/nrmlx_en/f?p=NORMLEXPUB:11300:0::NO::P11300_INSTRUMENT_ID:312277,calendar_days,28
C132,Rwanda,1991-05-13,1991,In Force,18 working days,Article 15(1)(a),primary-register-verified,ILO NORMLEX,https://normlex.ilo.org/dyn/nrmlx_en/f?p=NORMLEXPUB:11300:0::NO::P11300_INSTRUMENT_ID:312277,working_days,18
C132,Serbia,2000-11-24,2000,In Force,18 working days,Article 15(1)(a) and (b),primary-register-verified,ILO NORMLEX,https://normlex.ilo.org/dyn/nrmlx_en/f?p=NORMLEXPUB:11300:0::NO::P11300_INSTRUMENT_ID:312277,working_days,18
C132,Slovenia,1992-05-29,1992,In Force,18 working days,Article 15(1)(a) and (b),primary-register-verified,ILO NORMLEX,https://normlex.ilo.org/dyn/nrmlx_en/f?p=NORMLEXPUB:11300:0::NO::P11300_INSTRUMENT_ID:312277,working_days,18
C132,Spain,1972-06-30,1972,In Force,3 weeks,Article 15(1)(a),primary-register-verified,ILO NORMLEX,https://normlex.ilo.org/dyn/nrmlx_en/f?p=NORMLEXPUB:11300:0::NO::P11300_INSTRUMENT_ID:312277,weeks,3
C132,Sweden,1978-06-07,1978,In Force,5 weeks,Article 15(1)(a) and (b),primary-register-verified,ILO NORMLEX,https://normlex.ilo.org/dyn/nrmlx_en/f?p=NORMLEXPUB:11300:0::NO::P11300_INSTRUMENT_ID:312277,weeks,5
C132,Switzerland,1992-07-09,1992,In Force,4 weeks for workers in general and 5 weeks for workers under 20 years old,Article 15(1)(a) and (b),primary-register-verified,ILO NORMLEX,https://normlex.ilo.org/dyn/nrmlx_en/f?p=NORMLEXPUB:11300:0::NO::P11300_INSTRUMENT_ID:312277,weeks,4
C132,Ukraine,2001-10-25,2001,In Force,24 calendar days,Article 15(1)(a) and (b),primary-register-verified,ILO NORMLEX,https://normlex.ilo.org/dyn/nrmlx_en/f?p=NORMLEXPUB:11300:0::NO::P11300_INSTRUMENT_ID:312277,calendar_days,24
C132,Uruguay,1977-06-02,1977,In Force,20 working days,Article 15(1)(a) and (b),primary-register-verified,ILO NORMLEX,https://normlex.ilo.org/dyn/nrmlx_en/f?p=NORMLEXPUB:11300:0::NO::P11300_INSTRUMENT_ID:312277,working_days,20
C132,Uzbekistan,2025-01-06,2025,In Force,21 calendar days,Article 15(1)(a) and (b),primary-register-verified,ILO NORMLEX,https://normlex.ilo.org/dyn/nrmlx_en/f?p=NORMLEXPUB:11300:0::NO::P11300_INSTRUMENT_ID:312277,calendar_days,21
C132,Yemen,1976-11-01,1976,In Force,21 days for workers and 30 days for employees,Article 15(1)(a),primary-register-verified,ILO NORMLEX,https://normlex.ilo.org/dyn/nrmlx_en/f?p=NORMLEXPUB:11300:0::NO::P11300_INSTRUMENT_ID:312277,mixed_groups,
